1313077869 ilustreWebTest.20110805.soqrates.QQ.optimise_depth_wait EXECUTE 6117.0 - - 21
1313077870 ilustreWebTest.20110805.soqrates.QQ.optimise_spread_wait EXECUTE 6120.0 - - 24
1313077870 ilustreWebTest.20110805.soqrates.QQ.optimise_order_wait EXECUTE 6118.0 - - 22
1313077870 ilustreWebTest.20110805.soqrates.QQ.optimise_preopen_wait EXECUTE 6119.0 - - 23
1313077870 ilustreWebTest.20110805.soqrates.QQ.optimise_trade_wait SUBMIT 6121.0 - - 25
1313077870 ilustreWebTest.20110805.soqrates.QQ.topo_phlx_wait SUBMIT 6122.0 - - 26
1313077871 ilustreWebTest.20110805.soqrates.SS.trdmsq_wait SUBMIT 6123.0 - - 27
1313077871 ilustreWebTest.20110805.soqrates.UA.00 SUBMIT 6124.0 - - 28
1313077871 ilustreWebTest.20110805.soqrates.UA.01 SUBMIT 6125.0 - - 29
1313077874 ilustreWebTest.20110805.soqrates.PT.00 JOB_DISCONNECTED 6115.0 - - 19
1313077875 ilustreWebTest.20110805.soqrates.AT.01 EXECUTE 6112.0 - - 16
1313077875 ilustreWebTest.20110805.soqrates.PT.01 EXECUTE 6116.0 - - 20
1313077875 ilustreWebTest.20110805.soqrates.SS.trdmsq_wait EXECUTE 6123.0 - - 27
1313077875 ilustreWebTest.20110805.soqrates.AT.00 EXECUTE 6111.0 - - 15
1313077875 ilustreWebTest.20110805.soqrates.PA.00 EXECUTE 6113.0 - - 17
1313077875 ilustreWebTest.20110805.soqrates.UA.00 EXECUTE 6124.0 - - 28
1313077875 ilustreWebTest.20110805.soqrates.UA.01 EXECUTE 6125.0 - - 29
1313077875 ilustreWebTest.20110805.soqrates.QQ.optimise_trade_wait EXECUTE 6121.0 - - 25
1313077875 ilustreWebTest.20110805.soqrates.PA.01 EXECUTE 6114.0 - - 18
1313077875 ilustreWebTest.20110805.soqrates.QQ.topo_phlx_wait EXECUTE 6122.0 - - 26
1313077877 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha SUBMIT 6126.0 - - 30
1313077877 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods SUBMIT 6127.0 - - 31
1313077877 ilustreWebTest.20110805.datajob.susex_wait.susex_split.SusxCm SUBMIT 6128.0 - - 32
1313077882 ilustreWebTest.20110805.soqrates.PT.00 JOB_RECONNECT_FAILED 6115.0 - - 19
1313077883 ilustreWebTest.20110805.soqrates.PT.01 IMAGE_SIZE 6116.0 - - 20
1313077883 ilustreWebTest.20110805.soqrates.AT.01 IMAGE_SIZE 6112.0 - - 16
1313077884 ilustreWebTest.20110805.soqrates.UA.00 IMAGE_SIZE 6124.0 - - 28
1313077896 ilustreWebTest.20110805.datajob.susex_wait.susex_split.SusxCm EXECUTE 6128.0 - - 32
1313077896 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods EXECUTE 6127.0 - - 31
1313077904 ilustreWebTest.20110805.datajob.susex_wait.susex_split.SusxCm IMAGE_SIZE 6128.0 - - 32
1313077904 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods IMAGE_SIZE 6127.0 - - 31
1313077919 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods JOB_TERMINATED 6127.0 - - 31
1313077919 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods JOB_SUCCESS 0 - - 31
1313077921 ilustreWebTest.20110805.soqrates.PT.00 EXECUTE 6115.0 - - 19
1313077929 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods.mergeMtlb SUBMIT 6130.0 - - 33
1313077935 ilustreWebTest.20110805.soqrates.SS.trdmsq_wait JOB_TERMINATED 6123.0 - - 27
1313077935 ilustreWebTest.20110805.soqrates.SS.trdmsq_wait JOB_SUCCESS 0 - - 27
1313077938 ilustreWebTest.20110805.soqrates.QQ.topo_phlx_wait JOB_TERMINATED 6122.0 - - 26
1313077938 ilustreWebTest.20110805.soqrates.QQ.topo_phlx_wait JOB_SUCCESS 0 - - 26
1313077940 ilustreWebTest.20110805.soqrates.QQ.optimise_spread_wait JOB_TERMINATED 6120.0 - - 24
1313077940 ilustreWebTest.20110805.soqrates.QQ.optimise_spread_wait JOB_SUCCESS 0 - - 24
1313077943 ilustreWebTest.20110805.datajob.aim_wait JOB_TERMINATED 6094.0 - - 1
1313077943 ilustreWebTest.20110805.datajob.aim_wait JOB_SUCCESS 0 - - 1
1313077945 ilustreWebTest.20110805.soqrates.SS.waitsync SUBMIT 6131.0 - - 34
1313077945 ilustreWebTest.20110805.soqrates.SS.waitsync EXECUTE 6131.0 - - 34
1313077945 ilustreWebTest.20110805.soqrates.SS.waitsync JOB_TERMINATED 6131.0 - - 34
1313077945 ilustreWebTest.20110805.soqrates.SS.waitsync JOB_SUCCESS 0 - - 34
1313077947 ilustreWebTest.20110805.datajob.trdflag_wait JOB_TERMINATED 6098.0 - - 5
1313077947 ilustreWebTest.20110805.datajob.trdflag_wait JOB_SUCCESS 0 - - 5
1313077951 ilustreWebTest.20110805.datajob.AimGd SUBMIT 6132.0 - - 35
1313077952 ilustreWebTest.20110805.soqrates.QQ.optimise_preopen_wait JOB_TERMINATED 6119.0 - - 23
1313077952 ilustreWebTest.20110805.soqrates.QQ.optimise_preopen_wait JOB_SUCCESS 0 - - 23
1313077955 ilustreWebTest.20110805.soqrates.QQ.optimise_trade_wait JOB_TERMINATED 6121.0 - - 25
1313077955 ilustreWebTest.20110805.soqrates.QQ.optimise_trade_wait JOB_SUCCESS 0 - - 25
1313077955 ilustreWebTest.20110805.soqrates.QQ.optimise_order_wait JOB_TERMINATED 6118.0 - - 22
1313077955 ilustreWebTest.20110805.soqrates.QQ.optimise_order_wait JOB_SUCCESS 0 - - 22
1313077957 ilustreWebTest.20110805.soqrates.SS.00 SUBMIT 6133.0 - - 36
1313077958 ilustreWebTest.20110805.soqrates.SS.01 SUBMIT 6134.0 - - 37
1313077958 ilustreWebTest.20110805.datajob.TradeFlagGd SUBMIT 6135.0 - - 38
1313077958 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha EXECUTE 6126.0 - - 30
1313077965 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha JOB_TERMINATED 6126.0 - - 30
1313077965 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha JOB_SUCCESS 0 - - 30
1313077966 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods.mergeMtlb EXECUTE 6130.0 - - 33
1313077969 ilustreWebTest.20110805.datajob.susex_wait.susex_split.SusxCm IMAGE_SIZE 6128.0 - - 32
1313077969 ilustreWebTest.20110805.datajob.susex_wait.susex_split.SusxCm JOB_TERMINATED 6128.0 - - 32
1313077969 ilustreWebTest.20110805.datajob.susex_wait.susex_split.SusxCm JOB_SUCCESS 0 - - 32
1313077970 ilustreWebTest.20110805.datajob.AimGd EXECUTE 6132.0 - - 35
1313077973 ilustreWebTest.20110805.datajob.AimGd JOB_TERMINATED 6132.0 - - 35
1313077973 ilustreWebTest.20110805.datajob.AimGd JOB_SUCCESS 0 - - 35
1313077974 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha.mergeMtlb SUBMIT 6136.0 - - 39
1313077975 ilustreWebTest.20110805.soqrates.SS.00 EXECUTE 6133.0 - - 36
1313077979 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha.mergeMtlb EXECUTE 6136.0 - - 39
1313077980 ilustreWebTest.20110805.datajob.susex_wait.susex_split.SusxCm.mergeMtlb SUBMIT 6137.0 - - 40
1313077980 ilustreWebTest.20110805.datajob.AimGd.createMtlb SUBMIT 6138.0 - - 41
1313077982 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods.mergeMtlb IMAGE_SIZE 6130.0 - - 33
1313077982 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods.mergeMtlb JOB_TERMINATED 6130.0 - - 33
1313077982 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods.mergeMtlb JOB_SUCCESS 0 - - 33
1313077983 ilustreWebTest.20110805.soqrates.SS.00 IMAGE_SIZE 6133.0 - - 36
1313077983 ilustreWebTest.20110805.soqrates.SS.01 JOB_DISCONNECTED 6134.0 - - 37
1313077986 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha.mergeMtlb IMAGE_SIZE 6136.0 - - 39
1313077986 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha.mergeMtlb JOB_TERMINATED 6136.0 - - 39
1313077986 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp.RttpCmPatha.mergeMtlb JOB_SUCCESS 0 - - 39
1313077988 ilustreWebTest.20110805.datajob.TradeFlagGd EXECUTE 6135.0 - - 38
1313077991 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp.RttpCmPods.mergeMtlb.dup SUBMIT 6140.0 - - 42
1313077991 ilustreWebTest.20110805.soqrates.SS.01 JOB_RECONNECT_FAILED 6134.0 - - 37
1313077996 ilustreWebTest.20110805.datajob.TradeFlagGd IMAGE_SIZE 6135.0 - - 38
